ds,yhat,yhat_lower,yhat_upper
2022-01-01,36.78642874071748,-39.30374023520794,107.3001510895582
2022-01-02,65.82363056428878,-1.4215983299649961,138.44928588773362
2022-01-03,43.76888782577011,-29.40037470418764,111.26522626469503
2022-01-04,64.74088238306967,-7.795826597013017,133.86961986909523
2022-01-05,129.01375548913893,59.650272895576656,195.8879067072872
2022-01-06,84.64995282053455,17.328672273711003,155.43724256968054
2022-01-07,112.6708098274265,42.00399713136215,180.21588895847245
2022-01-08,59.00066086767164,-14.856319553482711,129.92410165098212
2022-01-09,242.26703834835058,177.02331488228705,313.15529048041464
2022-01-10,90.35167778033454,22.41051205355545,163.7903827297084
2022-01-11,59.01916376581451,-10.538754453058482,127.53994196759531
2022-01-12,132.15130328659708,60.330832477116616,201.27047495894027
2022-01-13,40.15137609165315,-27.113578390807383,109.81193415819
2022-01-14,215.02774250681588,143.12331713230216,288.9831571782435
2022-01-15,256.41782257490104,181.66389486110396,325.67754402524304
2022-01-16,39.40245987502588,-31.53705673873109,111.34964144939863
2022-01-17,101.26951582549125,30.870197356858725,166.32534772995237
2022-01-18,171.74772714994128,98.70035917978043,239.2900200048924
2022-01-19,310.2337196617138,237.51180698196913,381.6852443414277
2022-01-20,60.490117145609915,-11.764476504845726,129.80952531582037
2022-01-21,161.19672864688246,88.81652191938657,230.30687143406809
2022-01-22,251.7733190315322,180.5003585884141,321.22772470592946
2022-01-23,53.00987608407044,-20.036881421167582,126.63618955586786
2022-01-24,19.585420415660096,-48.41995598913155,93.32956161281602
2022-01-25,112.62007425707624,40.774766958297725,185.78793815693476
2022-01-26,77.7545857308413,5.654703625943575,146.4176602550113
2022-01-27,229.1623720803986,162.09368293868212,300.1808226815849
2022-01-28,118.3150874020651,43.29635657100727,191.8081765245508
2022-01-29,68.54188388137892,-0.2546305562485043,139.3142239784292
2022-01-30,222.24461045720935,150.91625053912242,285.53184358394236
2022-01-31,210.26921573244843,138.2619042003607,281.9985260835218
2022-02-01,178.04156524754998,111.9146200059685,250.97846074114167
2022-02-02,145.97367005249384,76.03492039213484,215.99244444054446
2022-02-03,93.40216482839715,21.065787772368555,166.4029326377224
2022-02-04,36.72358452735866,-35.56177934592367,108.13371306250502
2022-02-05,276.5065817451889,203.12549215468306,342.12488143958086
2022-02-06,90.48139744647249,18.526752254964162,164.85337947631413
2022-02-07,41.20928846781923,-29.65493986126968,112.03709223030502
2022-02-08,37.71488850357335,-30.93945627144084,109.79352991418344
2022-02-09,59.21409555383927,-8.446853645242308,127.34738353908156
2022-02-10,271.3993381203875,198.2396086131771,338.15430205410536
2022-02-11,101.49407945629756,33.965919993345445,169.0872586103377
2022-02-12,98.21742965951793,27.836107549892304,167.54415396499704
2022-02-13,171.70300051981127,102.31112506945486,245.32424502838174
2022-02-14,322.8204645882925,256.95150497923584,397.28324243017346
2022-02-15,85.82756975077857,10.516194439385755,153.41301783570597
2022-02-16,339.6558223139957,266.5811670631291,407.74676554967516
2022-02-17,54.89222878046985,-21.136934622071617,128.47457432427512
2022-02-18,28.319126979410655,-42.05498650502706,96.03419052120418
2022-02-19,67.50988933829768,-1.0126452358934042,134.000378396879
2022-02-20,175.3936848867874,108.68918112194466,245.81467798614906
2022-02-21,372.6022936965576,301.05922034220447,439.5719968786422
2022-02-22,128.84327105964567,59.423904281723786,199.98229145151285
2022-02-23,89.78890055711773,16.21590791201899,161.58559031068168
2022-02-24,137.24475849243186,66.52247758572788,207.39770019312172
2022-02-25,123.07862110098444,52.82651991229952,198.0124265075257
2022-02-26,92.91316257749176,21.77259632721302,168.36402115059295
2022-02-27,66.2138092616322,-9.055389705147858,137.39085986421497
2022-02-28,369.36545660464816,295.07590130162066,436.3985402437223
2022-03-01,53.61960590399198,-16.699505842414922,124.86181010243462
2022-03-02,120.30539628218314,54.74225018353259,190.110092919939
2022-03-03,82.18745686871279,8.651743948974245,149.23757817340882
2022-03-04,163.84785040980123,92.17967339459872,233.66389005633934
2022-03-05,208.2993198402406,137.88225200892165,274.8039547297247
2022-03-06,200.21829949153306,131.71782398741829,270.821745317559
2022-03-07,368.88621796060954,298.58448441681793,435.88032014915257
2022-03-08,101.72620750105482,30.247181248765106,169.42922138973145
2022-03-09,90.52514897124055,19.737659568079316,160.59059221558067
2022-03-10,108.20840040720485,39.337367730629815,176.3742171753941
2022-03-11,163.34225630397822,87.94270718720766,233.60122302640622
2022-03-12,213.0267729047099,145.79310381756432,280.53777249998245
2022-03-13,170.62083823296408,98.00056113623481,239.65476697936575
2022-03-14,32.11925012051578,-38.04783278984341,100.09094289965347
2022-03-15,76.92569524906523,7.133657741127363,146.502040997013
2022-03-16,129.66616243304483,57.35298946831235,198.14482961605376
2022-03-17,70.65516670557793,-4.226368012778855,143.46052295601382
2022-03-18,138.3572616737129,66.96347015387066,208.4964410224141
2022-03-19,134.3208472090885,62.8889190073889,204.8633308202558
2022-03-20,87.8079455336223,17.7719916163162,157.04978396888487
2022-03-21,59.003122674489234,-10.839523993395698,124.8550080919616
2022-03-22,120.44628191690013,51.39514776652822,190.55159957122183
2022-03-23,40.92987061560355,-28.68860962500899,110.66936371206508
2022-03-24,76.44725548030509,1.2655528987114513,153.35157337986587
2022-03-25,115.69101556897243,36.44026876450758,186.3162652462088
2022-03-26,52.40816277086758,-14.71697744795873,119.46051151274685
2022-03-27,290.33237870991775,214.1276819415536,357.6896258156951
2022-03-28,115.13679376921573,44.872581805416026,189.1982186734267
2022-03-29,186.69007620467917,113.38978722541059,256.8983364261674
